Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,35.8,55.21,18.83,36.47,55.33,28.31,9.56,4.82,26.93,0.39,1.01,,,0.39,0.39,,76.0,1.26,215.18,,,26.19,758.96,-0.5
2024-01-02,50.26,87.14,28.18,41.61,69.82,28.07,12.99,3.24,26.0,0.55,0.81,,,0.37,0.36,,77.87,1.2,206.15,,,28.91,758.36,-0.51
2024-01-03,95.36,182.53,27.45,37.12,64.59,27.62,21.87,2.63,24.38,0.42,1.03,,,0.39,0.34,,81.88,1.21,206.65,,,22.29,757.82,-0.51
2024-01-04,91.88,174.43,33.97,49.22,83.22,29.66,21.91,3.22,19.17,0.44,0.99,,,0.38,0.4,,89.19,1.26,197.15,,,21.51,757.83,-0.51
2024-01-05,41.19,80.9,24.5,41.02,65.54,30.11,21.19,2.64,19.36,0.49,0.93,,,0.46,0.39,,87.05,1.3,211.94,,,22.37,757.72,-0.5
2024-01-06,40.81,80.26,16.35,34.75,51.03,24.22,24.26,6.4,19.59,0.4,0.92,,,0.45,0.35,,87.82,1.29,231.38,,,20.38,757.74,-0.5
2024-01-07,51.8,98.59,22.77,40.68,63.48,24.6,21.48,3.0,18.71,0.5,0.9,,,0.42,0.33,,97.75,1.28,217.49,,,16.25,758.34,-0.5
2024-01-08,45.54,88.15,68.33,105.38,135.8,35.91,22.58,4.21,18.47,0.52,0.97,,,0.56,0.42,,95.97,1.25,219.03,,,11.98,758.6,-0.51
2024-01-09,46.44,89.65,18.3,38.6,56.92,24.8,22.24,3.84,24.8,0.54,0.95,,,0.44,0.41,,84.79,1.24,242.05,,,28.37,758.7,-0.5
2024-01-10,67.53,124.8,24.56,42.18,66.78,25.74,22.56,3.16,21.78,0.47,0.89,,,0.47,0.41,,81.29,1.12,231.38,,,30.15,758.44,-0.51
2024-01-11,51.64,98.5,35.65,55.92,91.6,28.65,22.87,2.77,22.32,0.44,1.01,,,0.46,0.36,,80.25,1.25,223.06,,,28.77,758.87,-0.51
2024-01-12,62.11,115.77,24.9,39.19,64.12,26.18,23.23,2.84,21.18,0.56,1.04,,,0.5,0.39,,83.97,1.15,207.93,,,35.15,758.81,-0.51
2024-01-13,66.93,123.79,22.96,35.29,58.16,29.76,23.81,2.53,22.58,0.45,0.93,,,0.38,0.41,,88.45,1.14,213.73,,,36.27,758.98,-0.51
2024-01-14,72.97,133.87,29.93,41.92,71.88,34.0,27.3,1.95,23.95,0.7,0.78,,,0.39,0.39,,82.85,1.26,197.04,,,34.06,758.55,-0.51
2024-01-15,56.07,105.69,22.84,29.22,52.08,27.8,22.27,0.19,20.51,0.52,0.86,,,0.35,0.38,,85.2,1.19,183.32,,,38.13,758.3,-0.51
2024-01-16,54.28,102.76,26.77,30.28,57.07,25.63,21.05,1.59,21.59,0.65,0.91,,,0.39,0.31,,77.27,1.19,189.08,,,36.52,757.64,-0.51
2024-01-17,55.75,105.17,29.37,34.48,63.86,24.9,20.93,0.24,20.86,0.56,0.85,,,0.37,0.38,,78.8,1.19,182.18,,,39.54,757.28,-0.51
2024-01-18,55.85,105.35,26.09,30.42,56.54,24.45,20.84,0.27,20.12,0.62,0.68,,,0.4,0.38,,83.57,1.15,198.6,,,33.91,757.57,-0.51
2024-01-19,51.1,97.42,33.59,39.36,72.97,26.3,20.89,2.53,19.33,0.58,0.94,,,0.44,0.4,,84.42,1.15,212.69,,,36.12,757.78,-0.51
